timestamp,asset,mode,signal,confidence,amount,result,pnl,state_key
2026-05-26 20:25:23,EUR/USD OTC,ftt,BUY,0.6324,200.0,WIN,164.0000,5NL|15NL|30BL|60BL
2026-05-26 20:25:30,EUR/USD OTC,ftt,BUY,0.6532,200.0,WIN,164.0000,5NL|15NL|30BM|60BL
2026-05-26 20:25:37,EUR/USD OTC,ftt,BUY,0.6532,200.0,WIN,164.0000,5NL|15NL|30BM|60BL
2026-05-26 20:25:45,EUR/USD OTC,ftt,BUY,0.6324,200.0,WIN,164.0000,5NL|15NL|30BL|60BL
2026-05-26 20:25:52,EUR/USD OTC,ftt,BUY,0.6075,200.0,LOSS,-200.0000,5NL|15NL|30BL|60BL
2026-05-26 20:26:00,EUR/USD OTC,ftt,BUY,0.9700,200.0,LOSS,-200.0000,5NL|15SL|30NL|60BL
2026-05-26 20:26:08,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5NL|15SL|30NL|60BL
2026-05-26 20:26:16,EUR/USD OTC,ftt,BUY,0.8889,200.0,WIN,164.0000,5NL|15SL|30BL|60BL
2026-05-26 20:26:23,EUR/USD OTC,ftt,BUY,0.8889,200.0,WIN,164.0000,5NL|15SL|30BL|60BL
2026-05-26 20:26:31,EUR/USD OTC,ftt,BUY,0.9700,200.0,LOSS,-200.0000,5SL|15SL|30BL|60BL
2026-05-26 20:26:39,EUR/USD OTC,ftt,BUY,0.9700,200.0,LOSS,-200.0000,5SL|15SL|30BL|60BL
2026-05-26 20:27:32,EUR/USD OTC,ftt,BUY,0.6532,200.0,WIN,164.0000,5NL|15NL|30BM|60BL
2026-05-26 20:27:39,EUR/USD OTC,ftt,BUY,0.6532,200.0,WIN,164.0000,5NL|15NL|30BM|60BL
2026-05-26 20:27:47,EUR/USD OTC,ftt,BUY,0.6310,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:28:10,EUR/USD OTC,ftt,BUY,0.9547,200.0,LOSS,-200.0000,5SM|15NL|30BL|60BM
2026-05-26 20:28:33,EUR/USD OTC,ftt,BUY,0.6500,200.0,WIN,164.0000,5BL|15NL|30BM|60BM
2026-05-26 20:28:40,EUR/USD OTC,ftt,BUY,0.6500,200.0,WIN,164.0000,5BL|15NL|30BM|60BM
2026-05-26 20:29:03,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5SM|15SL|30BL|60BM
2026-05-26 20:29:11,EUR/USD OTC,ftt,BUY,0.9518,200.0,WIN,164.0000,5NL|15SL|30BL|60BM
2026-05-26 20:29:34,EUR/USD OTC,ftt,BUY,0.6310,200.0,WIN,164.0000,5NL|15NL|30BL|60BM
2026-05-26 20:29:41,EUR/USD OTC,ftt,BUY,0.9077,200.0,WIN,164.0000,5SL|15NL|30BL|60BM
2026-05-26 20:29:49,EUR/USD OTC,ftt,BUY,0.9700,200.0,WIN,164.0000,5SL|15NL|30BL|60NL
2026-05-26 20:30:02,EUR/USD OTC,ftt,BUY,0.6075,200.0,WIN,164.0000,5NL|15NL|30BL|60BL
2026-05-26 20:30:09,EUR/USD OTC,ftt,BUY,0.6896,200.0,WIN,164.0000,5BL|15NL|30NL|60NL
